Year,TotalHomeless,Population,Unemployment,Unsheltered_perc_tot,TotalBeds_perc_tot,Emergency_perc_tot,Transitional_perc_tot,SafeHaven_perc_tot,PermanentSupportive_perc_tot,PermanentOther_perc_tot,RapidRehousing_perc_tot
2015,420,852100,5.7375,15,126.6666667,118.5714286,8.095238095,0,57.38095238,0,11.66666667
2014,536,847883,6.3375,6.902985075,99.62686567,83.02238806,16.60447761,0,39.36567164,0,0
2019,330,226486,3.1,17.27272727,107.8787879,68.48484848,39.39393939,0,140.9090909,0,11.81818182
2018,369,226504,4,18.69918699,97.56097561,57.72357724,39.83739837,0,125.7452575,0,14.90514905
2017,377,227265,4.5,16.71087533,104.2440318,65.51724138,38.72679045,0,128.9124668,0,15.38461538
2016,367,227170,5.7,20.16348774,114.986376,70.29972752,44.6866485,0,140.0544959,0,12.80653951
2015,441,227279,6.1,15.41950113,93.87755102,34.69387755,59.18367347,0,106.8027211,4.988662132,2.494331066
2014,490,227551,6.8,16.53061224,94.48979592,24.48979592,70,0,87.55102041,0,8.775510204
2019,224,407535,3.22,66.51785714,51.33928571,43.75,7.589285714,0,4.464285714,0,0
2018,146,408259,4.1,41.09589041,104.7945205,102.0547945,2.739726027,0,5.479452055,0,0
2017,163,408330,4.72,36.80981595,109.202454,89.57055215,19.63190184,0,2.45398773,0,0
2016,167,408341,6.08,45.50898204,106.5868263,67.06586826,39.52095808,0,0,0,0
2015,156,409094,6.36,33.97435897,62.82051282,57.05128205,5.769230769,0,10.25641026,0,0
2014,438,410111,7.16,15.98173516,34.24657534,27.85388128,6.392694064,0,2.739726027,0,0
2019,44,209355,2.7,0,225,206.8181818,18.18181818,0,668.1818182,0,0
2018,57,208319,3.6,1.754385965,222.8070175,159.6491228,63.15789474,0,515.7894737,0,0
2017,200,207618,4.3,31.5,88,45.5,41,1.5,147,0,0
2016,177,206464,5.7,73.44632768,55.36723164,9.039548023,46.32768362,0,163.8418079,0,0
2015,339,204767,5.5,57.52212389,58.40707965,4.719764012,53.68731563,0,76.10619469,0,0
2014,245,203086,5.9,45.71428571,63.26530612,6.530612245,56.73469388,0,76.73469388,0,0
2019,323,1366105,3.748837209,52.32198142,52.63157895,37.77089783,14.86068111,0,23.83900929,0,0
2018,730,1367899,4.81627907,39.7260274,63.15068493,25.75342466,37.39726027,0,30.2739726,0,0
2017,764,1370422,5.620930233,45.54973822,60.34031414,25.13089005,35.20942408,0,32.06806283,0,0
2016,827,1374194,7.220930233,44.49818622,60.33857316,24.90931076,35.42926239,0,33.8573156,0,0
2015,638,1377236,7.648837209,26.01880878,89.18495298,43.4169279,45.76802508,0,8.934169279,24.13793103,0
2014,716,1378368,8.506976744,24.02234637,77.37430168,43.15642458,34.21787709,0,10.19553073,0,0
2019,1066,731929,3.12,53.75234522,66.9793621,44.65290807,22.32645403,0,90.4315197,0,15.19699812
2018,1081,729701,3.18,50.87881591,72.24791859,47.36355227,24.88436633,0,82.60869565,0.740055504,11.28584644
2017,1006,727211,3.28,54.67196819,66.99801193,46.81908549,20.17892644,0,92.54473161,2.286282306,6.75944334
2016,808,723880,3.48,41.95544554,87.5,54.33168317,33.16831683,0,115.0990099,4.455445545,13.24257426
2015,830,720582,4.34,40.84337349,96.98795181,55.90361446,41.08433735,0,66.86746988,39.51807229,6.024096386
2014,1074,717830,5.16,46.83426443,73.64990689,37.61638734,36.03351955,0,71.22905028,2.048417132,7.728119181
2019,518,534904,2.566666667,45.75289575,48.45559846,38.8030888,9.652509653,0,37.83783784,0,8.494208494
2018,474,525239,2.8,31.85654008,95.78059072,48.10126582,47.67932489,0,45.99156118,0,0
2017,330,515616,2.833333333,28.78787879,112.4242424,56.36363636,56.06060606,0,40.60606061,4.545454545,47.87878788
2016,550,503806,2.966666667,11.09090909,84.18181818,44.18181818,40,0,29.81818182,0,7.090909091
2015,665,491730,3.666666667,9.172932331,72.48120301,40.45112782,32.03007519,0,14.73684211,0,11.12781955
2014,551,480513,4.5,40.29038113,72.77676951,41.74228675,31.03448276,0,17.78584392,0,13.43012704
2019,811,1465222,4.227586207,67.20098644,63.50184957,53.51418002,9.987669544,0,1.849568434,0,11.59062885
2018,825,1466850,4.248275862,58.66666667,69.57575758,59.03030303,10.54545455,0,2.545454545,0,6.303030303
2017,875,1467973,4.360344828,52.68571429,64.45714286,53.82857143,10.62857143,0,4.8,0,13.37142857
2016,850,1469621,4.705172414,44.82352941,70.58823529,59.88235294,10.70588235,0,4.588235294,0,12.70588235
2015,814,1470880,5.786206897,47.78869779,73.71007371,57.002457,16.70761671,0,4.791154791,0,0
2014,1056,1473348,6.75862069,60.22727273,56.15530303,48.95833333,7.196969697,0,4.166666667,0,0
2019,75,157922,4.95,0,265.3333333,249.3333333,16,0,21.33333333,0,0
2018,101,160373,4.85,5.940594059,197.029703,185.1485149,11.88118812,0,15.84158416,0,0
2017,88,162759,5.0625,0,253.4090909,226.1363636,27.27272727,0,18.18181818,0,0
2016,89,165226,5.475,12.35955056,250.5617978,223.5955056,26.96629213,0,17.97752809,0,0
2015,72,167471,6.8375,1.388888889,297.2222222,263.8888889,33.33333333,0,22.22222222,0,0
2014,70,168968,8.1375,0,294.2857143,260,34.28571429,0,22.85714286,0,0
2019,2021,1476626,7.209090909,48.63928748,57.54576942,44.63137061,12.91439881,0,58.73330035,0,31.07372588
2018,2187,1450133,7.281818182,49.61133973,57.11019662,43.16415181,13.94604481,0,51.85185185,0,25.69730224
