FIPS,county,state,population
13205,Marion, Georgia,"8,359"
13207,Meriwether, Georgia,"21,167"
13209,Miller, Georgia,"5,718"
13211,Mitchell, Georgia,"21,863"
13213,Monroe, Georgia,"27,578"
13215,Montgomery, Georgia,"9,172"
13217,Morgan, Georgia,"19,276"
13219,Murray, Georgia,"40,096"
13221,Muscogee, Georgia,"195,769"
13223,Newton, Georgia,"111,744"
13225,Oconee, Georgia,"40,280"
13227,Oglethorpe, Georgia,"15,259"
13229,Paulding, Georgia,"168,667"
13231,Peach, Georgia,"27,546"
13233,Pickens, Georgia,"32,591"
13235,Pierce, Georgia,"19,465"
13237,Pike, Georgia,"18,962"
13239,Polk, Georgia,"42,613"
13241,Pulaski, Georgia,"11,137"
13243,Putnam, Georgia,"22,119"
13245,Quitman, Georgia,"2,299"
13247,Rabun, Georgia,"17,137"
13249,Randolph, Georgia,"6,778"
13251,Richmond, Georgia,"202,518"
13253,Rockdale, Georgia,"90,896"
13255,Schley, Georgia,"5,257"
13257,Screven, Georgia,"13,966"
13259,Seminole, Georgia,"8,090"
13261,Spalding, Georgia,"66,703"
13263,Stephens, Georgia,"25,925"
13265,Stewart, Georgia,"6,621"
13267,Sumter, Georgia,"29,524"
13269,Talbot, Georgia,"6,195"
13271,Taliaferro, Georgia,"1,537"
13273,Tattnall, Georgia,"25,286"
13275,Taylor, Georgia,"8,020"
13277,Telfair, Georgia,"15,860"
13279,Terrell, Georgia,"8,531"
13281,Thomas, Georgia,"44,451"
13283,Tift, Georgia,"40,644"
13285,Toombs, Georgia,"26,830"
13287,Towns, Georgia,"12,037"
13289,Treutlen, Georgia,"6,901"
13291,Troup, Georgia,"69,922"
13293,Turner, Georgia,"7,985"
13295,Twiggs, Georgia,"8,120"
13297,Union, Georgia,"24,511"
13299,Upson, Georgia,"26,320"
13301,Walker, Georgia,"69,761"
13303,Walton, Georgia,"94,593"
13305,Ware, Georgia,"35,734"
13307,Warren, Georgia,"5,254"
13309,Washington, Georgia,"20,374"
13311,Wayne, Georgia,"29,927"
13313,Webster, Georgia,"2,607"
13315,Wheeler, Georgia,"7,855"
13317,White, Georgia,"30,798"
13319,Whitfield, Georgia,"104,628"
13321,Wilcox, Georgia,"8,635"
15001,Wilkes, Georgia,"9,777"
15003,Wilkinson, Georgia,"8,954"
15007,Worth, Georgia,"20,247"
15009,Hawaii, Hawaii,"201,513"
16001,Honolulu, Hawaii,"974,563"
16003,Kalawao, Hawaii,86
16005,Kauai, Hawaii,"72,293"
16007,Maui, Hawaii,"167,417"
16009,Ada, Idaho,"481,587"
16011,Adams, Idaho,"4,294"
16013,Bannock, Idaho,"87,808"
16015,Bear Lake, Idaho,"6,125"
16017,Benewah, Idaho,"9,298"
16019,Bingham, Idaho,"46,811"
16021,Blaine, Idaho,"23,021"
16023,Boise, Idaho,"7,831"
16025,Bonner, Idaho,"45,739"
16027,Bonneville, Idaho,"119,062"
16029,Boundary, Idaho,"12,245"
16031,Butte, Idaho,"2,597"
16033,Camas, Idaho,"1,106"
16035,Canyon, Idaho,"229,849"
16037,Caribou, Idaho,"7,155"
16039,Cassia, Idaho,"24,030"
16041,Clark, Idaho,845
16043,Clearwater, Idaho,"8,756"
16045,Custer, Idaho,"4,315"
16047,Elmore, Idaho,"27,511"
16049,Franklin, Idaho,"13,876"
16051,Fremont, Idaho,"13,099"
16053,Gem, Idaho,"18,112"
16055,Gooding, Idaho,"15,179"
16057,Idaho, Idaho,"16,667"
16059,Jefferson, Idaho,"29,871"
16061,Jerome, Idaho,"24,412"
16063,Kootenai, Idaho,"165,697"
16065,Latah, Idaho,"40,108"
16067,Lemhi, Idaho,"8,027"
16069,Lewis, Idaho,"3,838"
16071,Lincoln, Idaho,"5,366"
16073,Madison, Idaho,"39,907"
16075,Minidoka, Idaho,"21,039"
16077,Nez Perce, Idaho,"40,408"
16079,Oneida, Idaho,"4,531"
16081,Owyhee, Idaho,"11,823"
16083,Payette, Idaho,"23,951"
16085,Power, Idaho,"7,681"
16087,Shoshone, Idaho,"12,882"
17001,Teton, Idaho,"12,142"
17003,Twin Falls, Idaho,"86,878"
17005,Valley, Idaho,"11,392"
17007,Washington, Idaho,"10,194"
17009,Adams, Illinois,"65,435"
17011,Alexander, Illinois,"5,761"
17013,Bond, Illinois,"16,426"
17015,Boone, Illinois,"53,544"
17017,Brown, Illinois,"6,578"
17019,Bureau, Illinois,"32,628"
17021,Calhoun, Illinois,"4,739"
17023,Carroll, Illinois,"14,305"
17025,Cass, Illinois,"12,147"
17027,Champaign, Illinois,"209,689"
17029,Christian, Illinois,"32,304"
17031,Clark, Illinois,"15,441"
17033,Clay, Illinois,"13,184"
17035,Clinton, Illinois,"37,562"
17037,Coles, Illinois,"50,621"
17039,Cook, Illinois,"5,150,233"
17041,Crawford, Illinois,"18,667"
17043,Cumberland, Illinois,"10,766"
17045,DeKalb, Illinois,"104,897"
17047,De Witt, Illinois,"15,638"
17049,Douglas, Illinois,"19,465"
17051,DuPage, Illinois,"922,921"
17053,Edgar, Illinois,"17,161"
17055,Edwards, Illinois,"6,395"
17057,Effingham, Illinois,"34,008"
17059,Fayette, Illinois,"21,336"
17061,Ford, Illinois,"12,961"
17063,Franklin, Illinois,"38,469"
17065,Fulton, Illinois,"34,340"
17067,Gallatin, Illinois,"4,828"
17069,Greene, Illinois,"12,969"
17071,Grundy, Illinois,"51,054"
17073,Hamilton, Illinois,"8,116"
17075,Hancock, Illinois,"17,708"
17077,Hardin, Illinois,"3,821"
17079,Henderson, Illinois,"6,646"
17081,Henry, Illinois,"48,913"
17083,Iroquois, Illinois,"27,114"
17085,Jackson, Illinois,"56,750"
17087,Jasper, Illinois,"9,610"
17089,Jefferson, Illinois,"37,684"
17091,Jersey, Illinois,"21,773"
17093,Jo Daviess, Illinois,"21,235"
17095,Johnson, Illinois,"12,417"
17097,Kane, Illinois,"532,403"
17099,Kankakee, Illinois,"109,862"
17101,Kendall, Illinois,"128,990"
17103,Knox, Illinois,"49,699"
17105,Lake, Illinois,"696,535"
17107,LaSalle, Illinois,"108,669"
17109,Lawrence, Illinois,"15,678"
17111,Lee, Illinois,"34,096"
